Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
ACLBSL,104.76%,"6.44
                                
                                    (FY:080-081, Q:3)",191.02,135.02,9.11,,,
ADBL,45.44%,"24.75
                                
                                    (FY:080-081, Q:4)",15.16,235.80,1.59,,,
ADBLD83,-4.72%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,090.00",,,
AHL,115.63%,"-19.16
                                
                                    (FY:080-081, Q:3)",-36.01,97.99,7.04,,,
AHPC,11.73%,"0.21
                                
                                    (FY:080-081, Q:3)","1,202.38",101.75,2.48,,,"1:1
                                
                                    (FY:080-081)"
AKJCL,16.47%,"0.17
                                
                                    (FY:080-081, Q:3)","1,164.71",87.77,2.26,,,"1:1.5
                                
                                    (FY:081-082)"
AKPL,14.65%,"-11.68
                                
                                    (FY:080-081, Q:3)",-20.37,94.55,2.52,"0.53
                                
                                    (FY:078-079)",,"1:1
                                
                                    (FY:)"
ALBSL,42.27%,"8.07
                                
                                    (FY:080-081, Q:3)",132.22,158.99,6.71,,,
ALICL,9.61%,"8.23
                                
                                    (FY:080-081, Q:3)",91.49,135.96,5.54,"0.41
                                
                                    (FY:079-080)","7.75
                                
                                    (FY:079-080)","1:0.6
                                
                                    (FY:075-076)"
ANLB,35.71%,"20.37
                                
                                    (FY:080-081, Q:4)",142.38,389.84,7.44,,,
API,48.33%,"1.03
                                
                                    (FY:080-081, Q:3)",267.86,105.20,2.62,,,"1:0.40
                                
                                    (FY:080-081)"
AVYAN,47.95%,"-11.91
                                
                                    (FY:080-081, Q:3)",-87.33,99.78,10.42,,,
BARUN,71.88%,"-12.27
                                
                                    (FY:080-081, Q:3)",-31.38,102.41,3.76,"0.26
                                
                                    (FY:076-077)","5.00
                                
                                    (FY:076-077)","1:1
                                
                                    (FY:079-080)"
BBC,25.64%,"250.25
                                
                                    (FY:077-078, Q:2)",19.58,"1,685.32",2.91,,,
BEDC,143.66%,"-6.83
                                
                                    (FY:080-081, Q:3)",-71.74,57.19,8.57,,,
BFC,84.08%,"0.06
                                
                                    (FY:080-081, Q:4)","9,633.33",137.28,4.21,,"20.00
                                
                                    (FY:067-068)","1:0.25
                                
                                    (FY:074-075)"
